index_raw	name	type	typecode	address	pname	cityname	adname	timestamp	longtitude	latitude
239	???????????	????;????;??????	60703	???8??	27	???	???	9/17/2019 7:40	114.4905942	37.05133488
240	???????	????;??????;??????	60000	????2-7???	27	????	???	8/31/2019 11:44	114.4603868	38.09118295
241	??????????	?????????;????;????	130407	????563???	27	???	??	9/9/2019 22:57	113.6777588	36.57772509
242	??????????	????;????;????	170000	?????100?	27	???	???	8/15/2019 13:57	115.7161937	38.22273579
243	???????????????	????;??;??	170300	[]	27	????	???	8/2/2019 16:43	119.5792323	39.98950824
244	???????????????	????;??;??	170300	302???G4????????????150?	27	????	???	8/16/2019 18:22	114.7785272	38.15313949
245	?????	????;????;??	60400	???????	27	???	???	8/23/2019 16:01	114.7363826	36.33706796
246	????????????	????;??;??	170300	????????????150?	27	???	??????	9/15/2019 21:17	117.6670805	40.55438108
247	????????????	????;??;??	170300	??????	27	???	???	8/1/2019 15:23	116.7782516	39.50664246
248	????????????	????;??;??	170300	????50?	27	????	???	8/26/2019 23:32	115.2652506	40.9557441
249	?????????????	????;??????;??????	70000	????50?	27	???	???	9/9/2019 13:27	115.8132991	38.49200204
250	??????????????	????;??;??	170300	019???150?	27	???	????	8/24/2019 12:58	115.9682467	39.32892787
251	??????????	?????????;????;??????????	130104	???37???	27	????	???	8/22/2019 15:04	115.1995759	38.18091663
252	????	????;??;??	170200	???8?	27	???	???	8/31/2019 1:23	115.9711509	39.54034912
253	??????????????	?????????;????;??????????	130103	????644-646	27	???	???	8/1/2019 17:08	115.4831627	38.8694744
254	??????????????	?????????;????;??????????	130104	????100?	27	????	???	8/16/2019 12:59	114.2143411	38.25200884
255	????????????	?????????;????;??????????	130104	???77?	27	???	???	8/15/2019 21:40	115.7300629	38.23645955
256	????????????	?????????;????;??????????	130104	????27????????	27	???	??	9/11/2019 23:36	116.850018	38.57981509
257	?????????????	?????????;????;??????????	130104	???	27	????	???	8/31/2019 11:19	114.6436771	37.89024569
258	?????????????	?????????;????;??????????	130104	???????33?????????	27	???	???	9/16/2019 15:19	115.3130297	38.95090897
259	????????????	?????????;????;??????????	130104	????61???	27	???	???	9/17/2019 13:52	115.4861005	36.86114805
260	??????????????	?????????;????;??????????	130104	????358?	27	???	??	8/15/2019 21:40	115.2575283	36.98710765
261	???????????????	?????????;????;??????????	130104	????629???	27	???	???	9/6/2019 15:48	116.1453639	37.86806426
262	????????????	?????????;????;??????????	130104	???253???	27	???	???	9/17/2019 15:23	116.3958121	37.62554173
263	?????????????	?????????;????;??????	130100	109???50?	27	????	???	8/26/2019 17:09	114.1786485	40.11180701
264	????????????	?????????;????;??????????	130104	????61???	27	???	???	9/17/2019 13:52	115.4861005	36.86114805
265	??????????????	?????????;????;??????????	130104	????358?	27	???	??	8/15/2019 21:40	115.2575283	36.98710765
266	???????????????	?????????;????;??????????	130104	????629???	27	???	???	9/6/2019 15:48	116.1453639	37.86806426
267	????????????	?????????;????;??????????	130104	???253???	27	???	???	9/17/2019 15:23	116.3958121	37.62554173
268	?????????????	?????????;????;??????	130100	109???50?	27	????	???	8/26/2019 17:09	114.1786485	40.11180701
269	????????????	?????????;????;??????????	130104	???????????100?	27	???	???	8/16/2019 18:19	114.7980689	36.55072398
270	????????????	?????????;????;??????????	130104	???????????100?	27	????	???	8/16/2019 18:31	114.3811434	40.67938188
271	????????????	?????????;????;??????????	130104	???????5?	27	???	???	8/23/2019 12:36	115.5123822	38.2333719
272	?????(??????????)	????;????;??????	60703	????????????50?	27	???	???	8/6/2019 11:57	118.6901622	41.00490763
273	?????????????	?????????;????;??????????	130104	????	27	????	???	8/15/2019 21:42	118.8773979	39.89049379
274	?????????????	?????????;????;??????????	130104	????67?	27	???	???	9/6/2019 15:51	114.4998774	37.4447747
276	??????????????????	?????????;????;??????	130100	???	27	????	???	9/3/2019 10:29	114.8221756	38.01505426
277	???????????????	????;????;??????	60703	?????50?	27	???	???	8/27/2019 13:18	116.7297696	39.49133295
278	???????????????	?????????;????;??????????	130104	????68??	27	????	????	9/8/2019 15:33	119.7451881	39.99825992
279	??????????????	?????????;????;??????????	130104	??????	27	????	???	8/24/2019 11:49	114.3117045	38.0883004
280	????????????(???)	????;??;??	170200	???????????	27	???	???	8/27/2019 18:58	115.4038093	38.91908395
283	??????????????	?????????;????;??????????	130104	????????????150?????????	27	???	???	9/17/2019 10:47	117.2217899	38.05130837
284	????????????????	?????????;????;??????????	130104	???????????50?	27	???	???	9/5/2019 16:08	118.906956	39.42175291
285	??????????????	?????????;????;??????????	130104	?????????????50?	27	????	???	8/16/2019 18:22	114.9657818	38.17858332
286	??????????????????	?????????;????;??????????	130104	???73???	27	????	???	8/7/2019 10:44	115.0498706	38.02252997
287	??????????????????	?????????;????;??????????	130104	?????	27	????	???	8/16/2019 18:21	115.1996342	37.91529984
288	???????????	????;????;????	170000	S9902?????100?	27	????	???	8/26/2019 13:47	114.6149665	38.19218766
289	????	????;??;??	170200	??????????????????200?	27	????	???	8/2/2019 17:38	115.2202248	37.88763655
290	????(??????????????)	????;????/???;????/???	60200	102???	27	????	???	8/17/2019 18:41	118.8773599	39.89038277
293	????	????;??????;??????	60000	??????????	27	????	???	8/15/2019 12:36	119.2685346	39.88030967
294	????(??????)	????;????;??????	60703	???36???	27	????	???	9/17/2019 10:41	114.4641888	38.0913328
295	???	????;????;??????	60703	????25?	27	???	???	8/25/2019 10:46	115.0290021	37.21579025
298	??????	????;??????;??????	60000	???36???	27	???	???	8/19/2019 13:30	115.7214255	38.23240109
300	??????	????;??????;??????	60603	??????????????100?	27	???	???	8/3/2019 12:08	117.2194825	38.05215263
350	????????	????;??;??	170300	?????????	2	???	???	9/15/2019 21:04	111.8818919	37.04872279
351	?????	????;????;????	170000	[]	2	???	???	8/27/2019 17:48	112.8550832	35.63057225
352	????????	????;????;????	170000	[]	2	???	???	8/15/2019 13:59	112.365104	39.30032909
353	?????	????;????;????	170000	????	2	???	???	8/31/2019 11:08	111.2049847	34.84753704
354	??????	????;????;????	170000	?????50?	2	???	???	8/3/2019 16:17	110.7837116	35.11366947
355	????????????	????;??;??	170300	108???150?	2	???	??	8/15/2019 21:45	112.8757571	39.0166848
356	????????	????;????;????	170000	002????	2	???	???	9/4/2019 16:48	113.2295814	36.09504853
357	??????????	????;??;??	170300	???44	2	???	???	9/2/2019 19:36	113.753297	40.37040302
358	????????????	????;????;????	170000	[]	2	???	???	8/31/2019 12:06	111.8536574	38.90481309
359	????????????????????	????;????;????	170000	030????	2	???	???	9/2/2019 9:55	111.1909154	35.6497189
360	?????	????;????;????	170000	207???200?	2	???	???	8/27/2019 23:52	112.7957365	35.42686779
361	?????	????;??;??	170300	[]	2	???	???	9/9/2019 9:06	113.2048769	39.99368476
362	???????	????;????;????	170000	210???50?	2	???	??	9/2/2019 10:04	113.1084989	39.61457605
363	???????	????;????;????	170000	??????	2	???	??	8/28/2019 14:28	112.9437563	39.05282607
364	??????????????	????;????;????	170000	[]	2	???	???	8/19/2019 14:13	113.6738148	37.78332375
365	?????????????	????;????;????	170000	[]	2	???	???	9/4/2019 15:02	112.3651409	39.30006718
366	????????????	????;????;????	170000	????200?	2	???	???	8/2/2019 16:50	113.3836728	36.49541296
367	?????????????	????;??;??	170300	108???50?	2	???	???	9/2/2019 18:57	113.2148693	39.18268738
368	???????????	????;??;??	170300	????200?	2	???	???	9/5/2019 23:46	112.4044057	39.28405798
369	??????????????	????;????;????	170000	[]	2	???	???	9/5/2019 13:14	110.8104438	35.41166702
370	???????????	????;????;????	170000	?????????	2	???	???	9/14/2019 12:24	112.8353991	36.81205813
371	????????	????;????;????	170000	????200?	2	???	???	8/27/2019 12:35	114.0897832	40.43010134
372	??????????????	????;??;??	170200	212???50?	2	???	???	8/29/2019 16:40	112.3156283	39.47418536
373	?????????????	????;??;??	170200	307???50?	2	???	???	8/15/2019 21:57	110.8652787	37.4255821
374	???????	????;????;????	170000	?????????????	2	???	???	9/5/2019 21:03	110.7844533	35.11251472
375	???????????	????;??;??	170300	323???200?	2	???	??	9/9/2019 13:17	111.874977	36.22905545
376	????????	????;????;??????	60703	???142???	2	???	???	9/4/2019 10:53	112.331244	36.48618287
377	????????	????;????;??????	60703	???????????100?	2	???	???	8/27/2019 12:22	112.3374396	36.4921666
378	????????	????;??????;??????	60000	???19???	2	???	???	9/4/2019 10:53	112.3340742	36.50797836
379	?????????????	????;????;????	170000	[]	2	???	???	8/30/2019 9:58	112.4120385	37.58931501
380	????????????	????;??;??	170300	342???50?	2	???	???	8/3/2019 16:31	110.8141369	35.93139177
381	???????????????	????;??????;??????	60000	????????????50?	2	???	???	8/31/2019 23:19	111.8374972	38.90894519
383	?????????????	????;??;??	170300	????815???????150?	2	???	???	8/28/2019 12:58	110.9560534	35.01357949
384	????????	????;????;????	170000	S239(???)	2	???	???	8/15/2019 12:46	110.7832002	35.11418224
385	??????	????;??????;??????	60000	???????????150???????????????????????	2	???	???	9/4/2019 19:17	110.7115868	35.58729057
386	??????????????	????;??;??	170300	450???50?	2	???	???	9/3/2019 16:28	112.1396417	37.46004769
387	???????????????	????;??;??	170300	????????????????	2	???	???	8/29/2019 17:03	110.9552535	35.01332574
388	?????????????	????;??;??	170300	????815???????50?	2	???	???	8/24/2019 18:21	110.9570982	35.01388756
389	????????	????;????;??	60400	????????	2	???	???	8/26/2019 12:37	111.6547316	35.30944182
390	??????????	?????????;????;??????????	130104	????????????50?	2	???	???	8/15/2019 21:50	112.8550871	36.83676434
391	???????????????	????;??;??	170200	???102???50?	2	???	???	9/2/2019 16:00	113.0802927	36.26117502
392	??????????????	?????????;????;??????????	130104	????41???	2	???	??	8/20/2019 12:29	112.3243308	37.34974529
393	???????????	????;????;??????	60703	?????313??????50?	2	???	??	8/27/2019 21:07	111.1075505	38.46650788
395	???????????	????;????;??????	60703	????27??	2	???	??	8/26/2019 12:39	111.1132177	38.4654373
396	????????????	????;??;????	170204	???????????100?	2	???	???	8/27/2019 19:28	110.9574199	35.01405956
397	????????????	?????????;????;??????	130100	??????????7?	2	???	???	8/29/2019 11:35	113.2807855	40.09269736
398	????????????	?????????;????;??????????	130104	???20??	2	???	???	8/15/2019 21:47	114.2325012	39.43882251
399	????????????	?????????;????;??????????	130103	????326??	2	???	???	8/19/2019 12:36	110.9963669	35.04003945
400	???????????????	????;????;??????	60703	?????????????100?	2	???	??	8/17/2019 11:41	110.9256748	36.67245351
401	????(???????????)	????;????;????	60700	???18?	2	???	???	9/2/2019 21:16	111.1322116	37.52030061
402	???????????????	?????????;?????????;?????????	130000	????323???	2	???	???	8/29/2019 14:47	111.2134363	35.35380624
403	???????????????	?????????;????;??????????	130104	???39???	2	???	??	9/16/2019 17:26	110.9877554	37.95558384
404	???????????????	?????????;????;??????	130100	???????313	2	???	???	9/11/2019 9:15	112.7061152	38.73373689
405	??????	????;??;??|????;??;??	170200|170300	?????	2	???	???	9/11/2019 20:59	112.2125741	37.26978264
407	????	????;??????;??????	60603	????????????????	2	???	???	8/25/2019 12:33	111.2049737	34.84748209
430	?????	????;??;??	170200	??????????	25	?????	???	9/6/2019 18:29	113.0622668	41.00907191
431	?????	????;??;??	170300	?????50?	25	?????	????	8/3/2019 14:06	110.041626	40.42721116
432	?????	????;????;????	170000	[]	25	?????	???????????	9/3/2019 11:02	124.443845	48.47232358
433	?????	????;??;??	170200	?????207??????150???	25	???	????	8/28/2019 9:59	122.8026367	43.73630261
434	?????	????;????;????	170000	[]	25	?????	?????	9/9/2019 16:50	107.8147522	41.24577057
435	??????	????;??;??	170200	???	25	?????	????	8/27/2019 16:44	110.0139567	40.42391051
436	???????	????;????;????	170000	[]	25	?????	???	8/29/2019 14:20	108.5898952	39.8405393
437	???????	????;????;????	170000	????????????	25	?????	????	9/5/2019 0:10	110.3399857	40.16661383
438	???????	????;????;????	170000	?????????	25	???	???????	9/16/2019 22:38	123.6096548	43.17609548
439	?????????	????;??;??	170200	???	25	???	????	8/15/2019 10:07	109.8401251	40.68894968
440	???????????	????;??;??	170300	618???50?	25	?????	????	8/22/2019 16:19	109.7696318	40.45595239
441	??????	????;??;??	170300	????50?	25	???	???	9/17/2019 12:44	120.1844075	42.84310299
442	?????	????;????;????	170000	[]	25	???	???	9/8/2019 20:27	121.7532209	42.71810069
443	?????	????;????;????	170000	????150?	25	???	????	8/15/2019 14:09	109.8400129	40.6889295
444	??????	????;????;????	170000	??????50?	25	???	????	8/3/2019 16:11	109.8097145	40.68960136
445	?????	????;????;????	170000	[]	25	?????	???	8/7/2019 15:26	108.2765365	41.06538421
446	??????	????;????;????	170000	??????35??60?	25	?????	???	9/11/2019 10:52	111.6256735	40.79393128
447	???????	????;??;??	170300	???????????150?	25	???	????	9/10/2019 9:19	122.1989171	43.61113644
448	???(???)	????;??????;??????	60000	???	25	???	????	8/31/2019 21:18	122.2668898	43.59746757
449	?????????	????;????;????	170000	???????????150?	25	???	????	8/21/2019 15:59	122.1989572	43.61122453
450	?????????????	????;????;????	170000	???	25	?????	????	9/2/2019 9:49	122.7425915	47.98817572
451	???????????	????;??;??	170300	????50?	25	???	?????	8/22/2019 10:45	117.5251324	43.2258701
452	???????????	????;??????;????????	170400	402???200?	25	???	?????	8/21/2019 17:27	122.0106625	46.20723581
453	????????	????;??????;??????	60000	?????????????????100?	25	?????	????	8/30/2019 12:37	114.9656148	44.02031148
454	????????	????;??????;??????	60000	??????????????150?	25	???	???	8/26/2019 21:15	106.873854	39.43754685
455	???????????????	????;??;??	170200	??????	25	???	????	9/2/2019 19:04	122.2861103	43.64119096
456	???????	????;????;????	170000	[]	25	?????	?????	8/1/2019 15:44	109.308759	39.42415224
458	?????????????	????;??;??	170300	404???50?	25	???	???????	9/6/2019 19:50	122.0112528	46.04551903
459	?????????	????;??????;??????	60000	????	25	?????	???	8/29/2019 10:21	113.1075234	40.44346876
460	???????	????;??;??	170300	?????????????500?	25	???	???	8/3/2019 14:03	109.8412508	40.60070036
461	????	????;????;????	170000	??????	25	?????	???	9/2/2019 23:38	116.0063753	42.25566339
462	?????????	????;??;??	170300	??????	25	?????	???	8/9/2019 16:04	107.0008454	40.40591359
463	??????????	????;????;????	170000	215???50?	25	?????	???	8/31/2019 13:07	108.955694	39.56019888
464	???????	????;??;??	170300	?????	25	?????	????	8/2/2019 14:29	119.7138212	49.1704667
465	??????????????	????;??;??	170300	????50?	25	???	???	9/5/2019 17:50	110.0650954	41.04168073
466	????????	????;??;??	170300	????????????????	25	?????	????	8/24/2019 13:58	119.7814901	49.23581451
467	????????	????;??;??	170300	????50?	25	?????	?????	8/3/2019 16:01	111.7790145	40.36631546
468	???????????	????;??;??	170300	426???50?	25	???	?????	9/1/2019 17:56	122.1141364	46.08618793
469	????????????	????;????;????	170000	203???200?	25	?????	???	8/27/2019 13:45	107.3939173	40.81668063
470	???????????????	????;??;??	170200	????16?	25	?????	???	8/3/2019 14:07	107.4065328	40.79242746
471	????????	????;????;????	170000	???	25	???	???	8/29/2019 9:14	121.3086692	43.60393318
472	????????????	????;??;??	170300	?????????????150?	25	???	????	8/12/2019 17:05	109.8084027	40.68746747
473	????????????	????;??;??	170200	????????????????	25	???	????	9/12/2019 15:33	120.9301615	44.55269949
474	????????????	????;??;??	170300	314???50?	25	?????	???	8/16/2019 11:44	116.7454267	42.17413347
475	??????????????	????;??;??|????;??;??	170200|170300	????200?	25	???	????	8/3/2019 14:05	120.9299079	44.55360002
476	???????????????	????;??;??	170300	??????	25	???	????	8/7/2019 16:32	119.345637	43.96726258
477	????????	????;????;??????|????;??;??	060703|170300	????	25	?????	?????	8/3/2019 14:02	111.1428321	40.70994819
478	?????????????	????;??;??	170300	461???50?	25	???	???????	8/16/2019 20:15	123.1239933	44.48116903
479	?????????????	????;??;??	170300	??????50?	25	?????	???	8/17/2019 16:59	113.1288822	40.9667171
481	???????????	????;??;??	170200	304????	25	???	????	8/15/2019 11:29	122.2229026	43.54143236
482	?????????	????;??;??	170300	??????	25	?????	????	9/7/2019 17:35	119.770863	49.22766742
483	????????	????;??????;??????	70000	???????????????	25	???	????	9/15/2019 18:13	109.8362469	40.6898402
484	??????????	????;??????;??????	60000	?????????????100?	25	?????	?????	9/14/2019 10:36	111.1307444	40.71439422
485	??????????	????;????;????	170000	?????????	25	???	???	9/15/2019 11:04	119.3155028	42.38354265
486	????????????	????;??;??	170200	????16?	25	?????	???	9/10/2019 9:41	107.4057218	40.76373509
487	?????????????	????;??;??	170200	????????????	25	???	????	8/27/2019 17:05	109.7919565	40.63672149
488	??????????????	????;??;??	170200	????????????2000?	25	?????	????	9/9/2019 11:02	117.5686887	49.57560956
489	??????????????	????;??;??	170200	????????????2000?	25	?????	????	9/9/2019 11:02	117.5686887	49.57560956
490	????????????	????;??????;??????	60000	??????	25	???	????	9/16/2019 16:44	109.8317611	40.68214133
491	????????????????	????;????;????	170000	?????????(???)???????500?	25	???	???	9/9/2019 23:32	109.9062809	40.69949358
493	?????????????	????;??????;??????	60000	?????????????100?	25	?????	???	8/24/2019 12:39	112.5681573	40.89551751
495	???????	????;??????;??????	60000	??????????????150?	25	???	???	9/2/2019 19:59	121.7662665	42.73549281
499	??????	????;????;??????	60703	???????????100?	25	???	???	8/31/2019 11:06	121.3040431	43.60454283
500	??????????	????;????;??????	60703	????????????100?	25	???	?????	8/20/2019 14:45	110.5139215	40.55049668
502	????????????????	????;????;??????	60703	????242??????100?	25	???	???	9/2/2019 19:50	118.0605245	43.60544355
507	????	????;??????;??????	70000	????????	25	???	????	9/10/2019 22:12	109.8368736	40.68858419
511	????	????;????;??????	60703	??????????100?	25	???	????	8/30/2019 12:58	109.8360816	40.68935623
512	????????	????;??????;??????	60600	????????50?	25	???	????	9/17/2019 14:05	109.8101705	40.69017679
513	????	????;????/???;????/???	60200	??????????	25	???	????	9/11/2019 14:24	109.8222168	40.70793866
516	??????	????;????/???;????/???	60200	???????????????????	25	?????	???	8/29/2019 12:07	107.4058687	40.7924162
517	????	????;????;????	70500	????????????????	25	???	????	9/13/2019 22:46	109.8368195	40.68794453
519	???????	????;??????;??????	60600	????????????????????????	25	???	????	9/9/2019 16:10	109.8370749	40.68963682
520	?????????????	?????????;????;??????????	130103	????11?	25	?????	????	8/24/2019 10:47	119.7554052	49.20106982
521	??????	????;????;??	60400	???????????	25	???	????	8/30/2019 10:32	109.8081631	40.68772386
522	??????	????;??????;??????	60603	???????(303????)	25	???	???	8/28/2019 11:17	118.0604706	43.60551565
524	?????????	????;????;????	170000	???18-3???	25	???	???	8/29/2019 18:05	119.3282723	41.59416766
525	????	????;??????;??????	60000	????????????	25	???	????	8/30/2019 10:30	109.8080578	40.68766271
549	??????????	????;??;??	170300	????7-1?	20	???	???	9/13/2019 22:04	123.5014146	41.84808042
550	?????	????;????;????	170000	[]	20	???	???	9/5/2019 23:59	119.5019066	42.06942442
551	??????	????;????;????	170000	????3??	20	???	???	8/1/2019 15:53	123.5012279	41.84817186
552	???????	????;????;????	170000	????	20	???	???	9/2/2019 10:56	124.0263931	43.19825512
553	????????	????;????;????	170000	???13??	20	???	???	8/2/2019 14:11	124.301286	40.11441731
554	??????	????;????;????	170000	?????????	20	???	???	8/20/2019 10:25	124.0453378	43.19284196
555	??????????	????;??;??	170300	?????	20	???	???	8/16/2019 12:09	122.8621083	39.93304654
556	??????????	????;????;????	170000	?????	20	???	???	8/26/2019 13:12	122.8861938	42.57240021
557	????????????	????;????;????	170000	??????????400???	20	???	????????	9/3/2019 0:44	122.0863643	42.3073028
558	??????????????	????;??;??	170300	??????????350?	20	???	???	9/3/2019 23:21	122.7617272	40.84229275
559	??????	????;????;????	170000	??????????350???	20	???	???	8/28/2019 22:07	122.7612511	40.84238739
560	????????	????;????;????	170000	106????	20	???	???	9/3/2019 9:46	123.898222	41.7078089
561	???????	????;????;????	170000	???????????100?	20	???	???	9/4/2019 23:36	123.6584281	39.92256748
562	?????????	????;????;????	170000	???	20	???	????	8/26/2019 12:35	122.5489903	40.73014239
563	???????	????;????;????	170000	S303(???)	20	???	???	8/30/2019 12:38	123.3762276	42.73866858
564	???????	????;????;????	170000	???????	20	???	???????	8/25/2019 0:10	123.4622685	40.53773745
565	?????????	????;??;??	170300	????102???50?	20	???	???	8/13/2019 12:56	124.0022609	42.43661347
566	????????????	????;??;??	170300	????????	20	???	????????	9/5/2019 15:51	121.4613172	41.8023536
567	?????	????;????;????	170000	552???150?	20	???	???	8/28/2019 12:35	123.9180439	41.32843437
